2021-10-06 11:30:50 status half-installed libxcb-util1:amd64 0.4.0-0ubuntu3
2021-10-06 11:30:50 status unpacked libxcb-util1:amd64 0.4.0-0ubuntu3
2021-10-06 11:30:50 install libstartup-notification0:amd64 <none> 0.12-6
2021-10-06 11:30:50 status half-installed libstartup-notification0:amd64 0.12-6
2021-10-06 11:30:50 status unpacked libstartup-notification0:amd64 0.12-6
2021-10-06 11:30:50 install obconf:amd64 <none> 1:2.0.4+git20150213-2
2021-10-06 11:30:50 status half-installed obconf:amd64 1:2.0.4+git20150213-2
2021-10-06 11:30:50 status triggers-pending mime-support:all 3.64ubuntu1
2021-10-06 11:30:50 status unpacked obconf:amd64 1:2.0.4+git20150213-2
2021-10-06 11:30:50 install openbox:amd64 <none> 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:50 status half-installed openbox:amd64 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:50 status unpacked openbox:amd64 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:50 install scrot:amd64 <none> 1.2-2
2021-10-06 11:30:50 status half-installed scrot:amd64 1.2-2
2021-10-06 11:30:50 status unpacked scrot:amd64 1.2-2
2021-10-06 11:30:50 install obsession:amd64 <none> 20140608-2build1
2021-10-06 11:30:50 status half-installed obsession:amd64 20140608-2build1
2021-10-06 11:30:50 status unpacked obsession:amd64 20140608-2build1
2021-10-06 11:30:51 startup packages configure
2021-10-06 11:30:51 configure libgraphite2-3:amd64 1.3.13-11build1 <none>
2021-10-06 11:30:51 status unpacked libgraphite2-3:amd64 1.3.13-11build1
2021-10-06 11:30:51 status half-configured libgraphite2-3:amd64 1.3.13-11build1
2021-10-06 11:30:51 status installed libgraphite2-3:amd64 1.3.13-11build1
2021-10-06 11:30:51 configure liblcms2-2:amd64 2.9-4 <none>
2021-10-06 11:30:51 status unpacked liblcms2-2:amd64 2.9-4
2021-10-06 11:30:51 status half-configured liblcms2-2:amd64 2.9-4
2021-10-06 11:30:51 status installed liblcms2-2:amd64 2.9-4
2021-10-06 11:30:51 configure libkeyutils1:amd64 1.6-6ubuntu1 <none>
2021-10-06 11:30:51 status unpacked libkeyutils1:amd64 1.6-6ubuntu1
2021-10-06 11:30:51 status half-configured libkeyutils1:amd64 1.6-6ubuntu1
2021-10-06 11:30:51 status installed libkeyutils1:amd64 1.6-6ubuntu1
2021-10-06 11:30:51 configure libproxy1v5:amd64 0.4.15-10ubuntu1.2 <none>
2021-10-06 11:30:51 status unpacked libproxy1v5:amd64 0.4.15-10ubuntu1.2
2021-10-06 11:30:51 status half-configured libproxy1v5:amd64 0.4.15-10ubuntu1.2
2021-10-06 11:30:51 status installed libproxy1v5:amd64 0.4.15-10ubuntu1.2
2021-10-06 11:30:51 configure libxdamage1:amd64 1:1.1.5-2 <none>
2021-10-06 11:30:51 status unpacked libxdamage1:amd64 1:1.1.5-2
2021-10-06 11:30:51 status half-configured libxdamage1:amd64 1:1.1.5-2
2021-10-06 11:30:51 status installed libxdamage1:amd64 1:1.1.5-2
2021-10-06 11:30:51 configure hicolor-icon-theme:all 0.17-2 <none>
2021-10-06 11:30:51 status unpacked hicolor-icon-theme:all 0.17-2
2021-10-06 11:30:51 status half-configured hicolor-icon-theme:all 0.17-2
2021-10-06 11:30:51 status installed hicolor-icon-theme:all 0.17-2
2021-10-06 11:30:51 configure libdatrie1:amd64 0.2.12-3 <none>
2021-10-06 11:30:51 status unpacked libdatrie1:amd64 0.2.12-3
2021-10-06 11:30:51 status half-configured libdatrie1:amd64 0.2.12-3
2021-10-06 11:30:51 status installed libdatrie1:amd64 0.2.12-3
2021-10-06 11:30:51 configure xdg-user-dirs:amd64 0.17-2ubuntu1 <none>
2021-10-06 11:30:51 status unpacked xdg-user-dirs:amd64 0.17-2ubuntu1
2021-10-06 11:30:51 status half-configured xdg-user-dirs:amd64 0.17-2ubuntu1
2021-10-06 11:30:51 status installed xdg-user-dirs:amd64 0.17-2ubuntu1
2021-10-06 11:30:51 configure libxcb-render0:amd64 1.14-2 <none>
2021-10-06 11:30:51 status unpacked libxcb-render0:amd64 1.14-2
2021-10-06 11:30:51 status half-configured libxcb-render0:amd64 1.14-2
